
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
T12,ADC1_AIN2,,ADC1_AIN2,,,,,,,,,,,,,,,
V12,ADC1_AIN3,,ADC1_AIN3,,,,,,,,,,,,,,,
U12,ADC1_AIN4,,ADC1_AIN4,,,,,,,,,,,,,,,
R12,ADC1_AIN5,,ADC1_AIN5,,,,,,,,,,,,,,,
R10,ADC2_AIN0,,ADC2_AIN0,,,,,,,,,,,,,,,
T10,ADC2_AIN1,,ADC2_AIN1,,,,,,,,,,,,,,,
U10,ADC2_AIN2,,ADC2_AIN2,,,,,,,,,,,,,,,
T9,ADC2_AIN3,,ADC2_AIN3,,,,,,,,,,,,,,,
V9,ADC2_AIN4,,ADC2_AIN4,,,,,,,,,,,,,,,
T8,ADC2_AIN5,,ADC2_AIN5,,,,,,,,,,,,,,,
U7,ADC3_AIN0,,ADC3_AIN0,,,,,,,,,,,,,,,
U8,ADC3_AIN1,,ADC3_AIN1,,,,,,,,,,,,,,,
T7,ADC3_AIN2,,ADC3_AIN2,,,,,,,,,,,,,,,
R7,ADC3_AIN3,,ADC3_AIN3,,,,,,,,,,,,,,,
V8,ADC3_AIN4,,ADC3_AIN4,,,,,,,,,,,,,,,
U9,ADC3_AIN5,,ADC3_AIN5,,,,,,,,,,,,,,,
U6,ADC4_AIN0,,ADC4_AIN0,,,,,,,,,,,,,,,
V5,ADC4_AIN1,,ADC4_AIN1,,,,,,,,,,,,,,,
V4,ADC4_AIN2,,ADC4_AIN2,,,,,,,,,,,,,,,
U5,ADC4_AIN3,,ADC4_AIN3,,,,,,,,,,,,,,,
V3,ADC4_AIN4,,ADC4_AIN4,,,,,,,,,,,,,,,
U4,ADC4_AIN5,,ADC4_AIN5,,,,,,,,,,,,,,,
V14,ADC_VREFHI_G0,,,,,,,,,,,,,,,,,
V13,ADC_VREFLO_G0,,,,,,,,,,,,,,,,,
V10,ADC_VREFHI_G1,,,,,,,,,,,,,,,,,
V11,ADC_VREFLO_G1,,,,,,,,,,,,,,,,,
V6,ADC_VREFHI_G2,,,,,,,,,,,,,,,,,
V7,ADC_VREFLO_G2,,,,,,,,,,,,,,,,,
U16,ADC_CAL0,,,,,,,,,,,,,,,,,
T15,ADC_CAL1,,,,,,,,,,,,,,,,,
T13,DAC_VREF0,,DAC_VREF0,,,,,,,,,,,,,,,
T6,DAC_VREF1,,DAC_VREF1,,,,,,,,,,,,,,,
T5,DAC_OUT,,DAC_OUT,,,,,,,,,,,,,,,
U1,RSVD_U1,,,,,,,,,,,,,,,,,
U2,VSYS_MON,,VSYS_MON,,,,,,,,,,,,,,,
U3,RSVD_U3,,,,,,,,,,,,,,,,,
V2,RSVD_V2,,,,,,,,,,,,,,,,,
J16,RSVD_J16,,,,,,,,,,,,,,,,,
N3,VPP_N3,,,,,,,,,,,,,,,,,
R6,VDDA18_LDO_R6,,,,,,,,,,,,,,,,,
A1,VSS_A1,,,,,,,,,,,,,,,,,
T2,VSS_T2,,,,,,,,,,,,,,,,,
P5,VSS_P5,,,,,,,,,,,,,,,,,
M5,VSS_M5,,,,,,,,,,,,,,,,,
L5,VSS_L5,,,,,,,,,,,,,,,,,
J5,VSS_J5,,,,,,,,,,,,,,,,,
H5,VSS_H5,,,,,,,,,,,,,,,,,
F5,VSS_F5,,,,,,,,,,,,,,,,,
E5,VSS_E5,,,,,,,,,,,,,,,,,
M6,VSS_M6,,,,,,,,,,,,,,,,,
L6,VSS_L6,,,,,,,,,,,,,,,,,
J6,VSS_J6,,,,,,,,,,,,,,,,,
H6,VSS_H6,,,,,,,,,,,,,,,,,
F6,VSS_F6,,,,,,,,,,,,,,,,,
E6,VSS_E6,,,,,,,,,,,,,,,,,
